,Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
0,0,1993,1329536.0,323589.0,1627.0,82.0,26.06
1,0,1994,1299699.0,329041.0,1521.0,82.12,26.92
2,0,1995,1382905.0,339253.0,1476.0,82.72,26.27
3,0,1996,1419128.0,348223.0,1557.0,83.0,26.08
4,0,1997,1368074.0,337561.0,1339.0,82.46,26.31
5,0,1998,1404580.0,365892.0,1465.0,82.6,26.84
6,0,1999,1478712.0,359817.0,1778.0,82.79,26.14
7,0,2000,1486909.0,336765.0,1974.7,90.6,27.1
12,0,2005,1411650.0,337893.0,710.5,79.5,26.8
13,0,2006,1552078.0,320789.0,506.5,80.8,26.73
14,0,2007,1556858.0,360717.0,1414.0,81.5,26.38
15,0,2008,1402287.0,329109.0,1270.4,78.5,27.0
16,0,2009,1533369.0,359375.0,1577.0,78.7,26.9
17,0,2010,1788738.0,352281.0,1986.0,81.4,27.1
18,0,2011,1772962.0,380686.0,1268.0,79.4,27.1
19,0,2012,1582393.0,387803.0,1098.0,79.6,26.9
20,0,2013,2331046.0,419183.0,1623.6,80.7,27.0
21,0,2014,1820062.0,376137.0,2264.4,78.3,27.1
22,0,2015,1956940.0,461060.0,1575.0,80.0,27.1
23,0,2016,2180754.0,293067.0,1096.0,83.32,27.12
24,0,2017,2478922.0,294483.0,1905.9,85.57,26.51
25,0,2018,1751996.94,329515.78,1427.8,83.98,26.48
26,0,2019,1714437.6,310012.46,1931.4,83.9,26.65
27,0,2020,1861567.1,317869.41,1619.2,80.82,25.41
28,0,2021,1704646.77,309765.0,2322.05,80.93594017094019,25.56
29,0,2022,1897465.0,321798.24,2322.05,81.2,26.773389830508478
30,0,2023,1907642.0,331087.42,1608.0,80.93594017094019,26.42
31,7,1993,2918152.0,754569.0,2549.4,83.8,26.45
32,7,1994,3079960.0,792534.0,2166.5,83.79,26.4
33,7,1995,3134533.0,795183.0,2917.1,81.68,26.58
34,7,1996,3136760.0,790051.0,2326.5,81.31,26.33
35,7,1997,3212208.0,797545.0,1865.0,81.81,26.4
36,7,1998,3321049.0,823749.0,2496.9,83.53,27.16
37,7,1999,3451430.0,838626.0,3087.3,84.56,26.45
38,7,2000,3514253.0,847610.0,1289.5,82.94,27.7
39,7,2001,3291515.0,801948.0,3595.3,72.78,28.03
40,7,2002,3153305.0,765161.0,1944.9,72.31,28.45
43,7,2005,3447394.0,822073.0,776.7,83.8,27.0
44,7,2006,3007636.0,705023.0,222.5,81.0,27.8
45,7,2007,3265834.0,750232.0,2513.0,82.0,27.0
46,7,2008,3340794.0,748540.0,2442.0,81.4,26.9
47,7,2009,3527899.0,768407.0,2184.0,86.0,27.1
48,7,2010,3582302.0,754674.0,1903.3,78.55,27.18
